research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201606,711,19,fork,(om te laten zien wat zilver is),,,use fork as ,use fork as ,4,4
CES201606,824,20,fork,aandacht vragen aan tafel voor een speech,aandacht vragen tafel speech,asking for attention table speech,use fork as asking for attention table speech,use fork for asking for attention table speech,3,5
CES201606,403,15,fork,aandrukken van de randjes van de appelflap,aandrukken randjes appelflap,press edges of apple pie,use fork as press edges of apple pie,use fork to press edges of apple pie,2,5
CES201606,919,23,fork,aanwijsstok,aanwijsstok,pointing stick,use fork as pointing stick,use fork as pointing stick,2,4
CES201606,2072.2,51,fork, in de aarde,aarde,soil,use fork as soil,use fork as soil,2,3
CES201606,1076,25,fork,armbanden/kettingen aan hangen,armbanden kettingen hangen,bracelets hanging on chains,use fork as bracelets hanging on chains,use fork as bracelets hanging on chains,3,3
CES201606,2025,49,fork,bakje openen,bakje openen,open container,use fork as open container,use fork as open container,2,4
CES201606,177,12,fork,behangafhaalding,behang afhaal ding,wallpaper takeaway thing,use fork as wallpaper takeaway thing,use fork as wallpaper takeaway thing,3,3
CES201606,180,12,fork,een bezem,bezem,broom,use fork as broom,use fork as broom,4,2
CES201606,1184,27,fork,bierflesje openen,bierflesje openen,open beer bottle,use fork as open beer bottle,use fork as open beer bottle,2,5
CES201606,1759,45,fork,bieropener,bieropener,beer opener,use fork as beer opener,use fork as beer opener,2,5
CES201606,1546,39,fork,blik open te maken,blik open,can open,use fork as can open,use fork as can open,2,4
CES201606,1925,47,fork,blik opener,blik opener,can opener,use fork as can opener,use fork as can opener,2,4
CES201606,1039,24,fork,blikopener,blikopener,can opener,use fork as can opener,use fork as can opener,2,4
CES201606,1758,45,fork,blikopener,blikopener,can opener,use fork as can opener,use fork as can opener,2,4
CES201606,395,15,fork,borstel,borstel,brush,use fork as brush,use fork as brush,2,4
CES201606,1446,37,fork,borstel,borstel,brush,use fork as brush,use fork as brush,2,4
CES201606,1542,39,fork,bouwen,bouwen,build,use fork as build,use fork as build,2,3
CES201606,183,12,fork,breistokjes,brei stokjes,knit double crochet stitches,use fork as knit double crochet stitches,use fork as knit double crochet stitches,3,4
CES201606,1078,25,fork,om mee te breien/haken etc.,breien haken,knitting crochet,use fork as knitting crochet,use fork as knitting crochet,3,4
CES201606,1665,43,fork,breinaald,breinaald,knitting needle,use fork as knitting needle,use fork as knitting needle,3,4
CES201606,1838,46,fork,CD rekje,cd rekje,CD rack,use fork as CD rack,use fork as CD rack,4,2
CES201606,1420,36,fork,chinees eten,chinees eten,Chinese food,use fork as Chinese food,use fork as Chinese food,1,5
CES201606,1831,46,fork,chirurgisch instrument,chirurgisch instrument,surgical instrument,use fork as surgical instrument,use fork as surgical instrument,5,2
CES201606,1976,48,fork,darten met vork,darten vork,darts fork,use fork as darts fork,use fork as darts fork,3,3
CES201606,709,19,fork,als dartpijl,dartpijl,dart,use fork as dart,use fork as dart,3,3
CES201606,537,17,fork,deeg in stukjes prikken,deeg stukjes prikken,poke pieces of dough,use fork as poke pieces of dough,use fork as poke pieces of dough,2,5
CES201606,1545,39,fork,dingen leeg te schrapen,dingen leeg schrapen,scraping things clean,use fork as scraping things clean,use fork as scraping things clean,2,5
CES201606,2070,51,fork,dingen opprikken van straat zodat je handen niet vies worden en je ze in de prullenbak kan gooien,dingen opprikken straat zodat handen niet vies prullenbak gooien,pin things up on street so that hands don't throw dirty trash,use fork as pin things up on street so that hands don't throw dirty trash,use fork as pin things up on street so that hands don't throw dirty trash,1,5
CES201606,707,19,fork,voor dirigeren,dirigeren,conduct,use fork as conduct,use fork as conduct,3,5
CES201606,1222,28,fork,iemand mee dood steken,dood steken,stab to death,use fork as stab to death,use fork as stab to death,2,4
CES201606,474,16,fork,draad uit kleding haal tool,draad kleding haal tool,thread clothes fetch tool,use fork as thread clothes fetch tool,use fork as thread clothes fetch tool,2,4
CES201606,1666,43,fork,drumstick,drumstick,drumstick,use fork as drumstick,use fork as drumstick,3,4
CES201606,2053,50,fork,gebruiken als duivelsstaart,duivelsstaart,devil tail,use fork as devil tail,use fork as devil tail,4,3
CES201606,1830,46,fork,eetgerij,eetgerei,eating utensils,use fork as eating utensils,use fork as eating utensils,1,5
CES201606,539,17,fork,er een ei op leggen en een race doen,ei leggen race,egg lay race,use fork as egg lay race,use fork as egg lay race,3,5
CES201606,1760,45,fork,elektriciteit geleiden,elektriciteit geleiden,conduct electricity,use fork as conduct electricity,use fork as conduct electricity,4,4
CES201606,1620,41,fork,Ergens ' iets uit peuteren ,ergens peuteren,picking somewhere,use fork as picking somewhere,use fork as picking somewhere,2,5
CES201606,704,19,fork,om ergens in te prikken (afval opruimen),ergens prikken,prick somewhere,use fork as prick somewhere,use fork as prick somewhere,1,5
CES201606,1629,42,fork,iets ergens tussenuit peuteren ,ergens tussenuit peuteren,pick something out of way,use fork as pick something out of way,use fork as pick something out of way,2,5
CES201606,301,14,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,621,18,fork,om mee te eten ,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,698,19,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,1223,28,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,1267,29,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,1385,35,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,1540,39,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
CES201606,1977,48,fork,eten,eten,eat,use fork as eat,use fork as eat,1,5
