research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
CES201606,2084.1,51,paperclip,van alles,,,use paperclip as ,use paperclip as ,0,0
CES201606,1084,25,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201606,1082,25,paperclip,armband/ketting sluiter,armband ketting sluiter,bracelet chain shutter,use paperclip as bracelet chain shutter,use paperclip as bracelet chain shutter,2,5
CES201606,320,14,paperclip,armbandje maken kan ook,armbandje,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201606,546,17,paperclip,bakken,bakken,baking,use paperclip as baking,use paperclip as baking,3,2
CES201606,1329,30,paperclip,2 bakstenen,bakstenen,brick,use paperclip as brick,use paperclip as brick,0,0
CES201606,1847,46,paperclip,ballon lek prikker,ballon lek prikker,balloon puncture stick,use paperclip as balloon puncture stick,use paperclip as balloon puncture stick,3,5
CES201606,1850,46,paperclip,beeldscherm bekrasser,beeldscherm bekrassen,scratch screen,use paperclip as scratch screen,use paperclip as scratch screen,3,4
CES201606,548,17,paperclip,begraven,begraven,bury,use paperclip as bury,use paperclip as bury,3,1
CES201606,1043,24,paperclip,beha bandjes bij elkaar houden,beha bandjes elkaar houden,bra straps hold together,use paperclip as bra straps hold together,use paperclip as bra straps hold together,4,5
CES201606,931,23,paperclip,boekenlegger,boekenlegger,bookmark,use paperclip as bookmark,use paperclip as bookmark,3,5
CES201606,2028,49,paperclip,boekenlegger,boekenlegger,bookmark,use paperclip as bookmark,use paperclip as bookmark,3,5
CES201606,1671,43,paperclip,boterhamzaksluitclipje,boterhamzak sluit clipje,sandwich bag closing clip,use paperclip as sandwich bag closing clip,use paperclip as sandwich bag closing clip,2,5
CES201606,544,17,paperclip,breken,breken,break,use paperclip as break,use paperclip as break,3,3
CES201606,1853,46,paperclip,capo,capo,capo,use paperclip as capo,use paperclip as capo,5,3
CES201606,481,16,paperclip,decoratie,decoratie,decoration,use paperclip as decoration,use paperclip as decoration,3,3
CES201606,1227,28,paperclip,om een deur mee open te krijgen,deur open krijgen,get door open,use paperclip as get door open,use paperclip as get door open,3,4
CES201606,404,15,paperclip,deurenopener (dief),deurenopener,door opener,use paperclip as door opener,use paperclip as door opener,3,4
CES201606,932,23,paperclip,deuropener,deuropener,door opener,use paperclip as door opener,use paperclip as door opener,3,4
CES201606,1081.1,25,paperclip,als ding om een rits mee open te maken,ding rits open,thing zip open,use paperclip as thing zip open,use paperclip as thing zip open,2,5
