research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201606,639,18,towel,om je af te drogen ,af drogen,dry,use towel as dry,use towel to dry,1,5
CES201606,723,19,towel,als afbakening van iets,afbakening,demarcation,use towel as demarcation,use towel as demarcation,3,4
CES201606,1518,38,towel,afdekken van fruit,afdekken fruit,cover fruit,use towel as cover fruit,use towel to cover fruit,2,5
CES201606,722,19,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201606,834,20,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201606,1395,35,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201606,1553,39,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201606,1989,48,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201606,2101,51,towel,afsluiting,afsluiting,closing,use towel as closing,use towel as closing,2,4
CES201606,1556,39,towel,afstoffen,afstoffen,dust off,use towel as dust off,use towel as dust off,2,5
CES201606,325,14,towel,de afwas mee afdrogen,afwas afdrogen,dry dishes,use towel as dry dishes,use towel to dry dishes,1,5
CES201606,2106.1,51,towel,of iets anders schoon te maken,anders schoon,otherwise clean,use towel as otherwise clean,use towel as otherwise clean,1,5
CES201606,1786,45,towel,baby-inwikkeldoek voor om je lichaam,Baby inwikkel doek lichaam,Baby wrapping cloth body,use towel as Baby wrapping cloth body,use towel as Baby wrapping cloth body,2,5
CES201606,1338,30,towel,badlaken,badlaken,bath towel,use towel as bath towel,use towel as bath towel,1,5
CES201606,200,12,towel,badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,1,5
CES201606,2103,51,towel,of badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,1,5
CES201606,556,17,towel,bakken,bakken,baking,use towel as baking,use towel as baking,3,2
CES201606,1098,25,towel,bandana,bandana,bandanna,use towel as bandanna,use towel as bandanna,3,4
CES201606,730,19,towel,als bedekking van lichaamsdelen,bedekking lichaamsdelen,covering body parts,use towel as covering body parts,use towel as covering body parts,2,5
CES201606,558,17,towel,begraven,begraven,bury,use towel as bury,use towel as bury,3,3
CES201606,195,12,towel,behang,behang,wallpaper,use towel as wallpaper,use towel as wallpaper,3,2
CES201606,644,18,towel,als bekleding van de bank ,bekleding bank,sofa upholstery,use towel as sofa upholstery,use towel as sofa upholstery,3,3
CES201606,491,16,towel,bescherming ,bescherming,protection,use towel as protection,use towel as protection,2,4
CES201606,1597,40,towel,bescherming voor glaswerk bij het verhuizen,bescherming glaswerk verhuizen,moving glassware protection,use towel as moving glassware protection,use towel as moving glassware protection,2,4
CES201606,1148,26,towel,bestek inwikkelen voor een picknick,bestek inwikkelen picknick,cutlery wrapping picnic,use towel as cutlery wrapping picnic,use towel as cutlery wrapping picnic,2,5
CES201606,1280,29,towel,BH,bh,bra,use towel as bra,use towel as bra,4,2
CES201606,326,14,towel,als blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,2,5
CES201606,1785,45,towel,blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,2,5
CES201606,1865,46,towel,blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,2,5
CES201606,1936,47,towel,als blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,2,5
CES201606,1443,36,towel,of als bodem,bodem,soil,use towel as soil,use towel as soil,2,2
CES201606,1522,38,towel,brand blussen,brand blussen,extinguish fire,use towel as extinguish fire,use towel as extinguish fire,3,4
CES201606,490,16,towel,brandmateriaal,brandmateriaal,burning material,use towel as burning material,use towel as burning material,3,3
CES201606,1396,35,towel,ietsbreekbaars erin verpakken,breekbaars erin verpakken,packing fragile items in it,use towel as packing fragile items in it,use towel as packing fragile items in it,2,5
CES201606,554,17,towel,breken,breken,break,use towel as break,use towel as break,3,2
CES201606,192,12,towel,broek,broek,trousers,use towel as trousers,use towel as trousers,3,3
CES201606,255,13,towel,of broek,broek,trousers,use towel as trousers,use towel as trousers,3,3
CES201606,1094,25,towel,broek,broek,trousers,use towel as trousers,use towel as trousers,3,3
CES201606,1333,30,towel,buitenlucht,buitenlucht,outside air,use towel as outside air,use towel as outside air,0,0
CES201606,727,19,towel,als camouflagemateriaal,camouflagemateriaal,camouflage material,use towel as camouflage material,use towel as camouflage material,3,3
CES201606,729.1,19,towel,om een dansje mee te doen,dansje,dance,use towel as dance,use towel as dance,3,3
CES201606,949,23,towel,dekbed,dekbed,duvet,use towel as duvet,use towel as duvet,2,4
CES201606,415,15,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,488,16,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1475,37,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1557,39,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1674,43,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1729,44,towel,Deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1778,45,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,328,14,towel,als dekentje,dekentje,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,726,19,towel,als dekentje,dekentje,blanket,use towel as blanket,use towel as blanket,2,4
CES201606,1442,36,towel,als deksel gebruiken,deksel,lid,use towel as lid,use towel as lid,3,3
CES201606,2106.2,51,towel, desnoods de vloer of pannen,desnoods vloer pannen,pan floor if necessary,use towel as pan floor if necessary,use towel as pan floor if necessary,0,0
CES201606,2102,51,towel,deurmat,deurmat,doormat,use towel as doormat,use towel as doormat,2,4
