research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201705,13784,872,brick,maken,,,use brick as ,use brick as ,0,0
CES201705,14351.4,902,brick, etc......,,,use brick as ,use brick as ,0,0
CES201705,14432,899,brick,veel,,,use brick as ,use brick as ,0,0
CES201705,15572,946,brick,je kan er iets op doen,,,use brick as ,use brick as ,2,5
CES201705,16246.1,975,brick,5,,,use brick as ,use brick as ,0,0
CES201705,15665,955,brick,aannemer,aannemer,contractor,use brick as contractor,use brick as contractor,0,0
CES201705,15441,939,brick,Aanrecht,aanrecht,counter,use brick as counter,use brick as counter,0,0
CES201705,16554,992,brick,Aansteker,aansteker,lighter,use brick as lighter,use brick as lighter,2,3
CES201705,15676,9999,brick,aanvallen,aanvallen,attack,use brick as attack,use brick as attack,2,5
CES201705,15444,939,brick,Accesoires,accessoires,accessories,use brick as accessories,use brick as accessories,3,4
CES201705,13021,820,brick,achter het wiel van een auto zetten zodat deze niet achteruit rijdt.,achter wiel auto zetten zodat niet achteruit rijdt,put car behind wheel so that it does not drive backwards,use brick as put car behind wheel so that it does not drive backwards,use brick to put car behind wheel so that it does not drive backwards,2,5
CES201705,14061,884,brick,achtergrond,achtergrond,background,use brick as background,use brick as background,4,3
CES201705,13353,851,brick,achtertuin,achtertuin,backyard,use brick as backyard,use brick as backyard,0,0
CES201705,14844,915,brick,afscheiding,afscheiding,secretion,use brick as secretion,use brick as secretion,2,5
CES201705,15423,938,brick,afscheiding planten in tuin,afscheiding planten tuin,garden separation plants,use brick as garden separation plants,use brick as garden separation plants,2,5
CES201705,15031,930,brick,iets anders kapot maken,anders kapot,otherwise break,use brick as otherwise break,use brick as otherwise break,2,4
CES201705,14957,922,brick,als anker voor een boot,anker boot,anchor boat,use brick as anchor boat,use brick to anchor boat,4,3
CES201705,12908,813,brick,appartement,appartement,apartment,use brick as apartment,use brick as apartment,1,5
CES201705,14885,918,brick,appartement,appartement,apartment,use brick as apartment,use brick as apartment,1,5
CES201705,14879,918,brick,architect,architect,architect,use brick as architect,use brick as architect,0,0
CES201705,12939.4,817,brick, architectuur,architectuur,architecture,use brick as architecture,use brick as architecture,1,5
CES201705,12943,817,brick,architectuur,architectuur,architecture,use brick as architecture,use brick as architecture,1,5
CES201705,13587,862,brick,Architectuur,architectuur,architecture,use brick as architecture,use brick as architecture,1,5
CES201705,15645.5,956,brick, architectuur,architectuur,architecture,use brick as architecture,use brick as architecture,1,5
CES201705,15377,936,brick,artistiek object,artistiek object,artistic object,use brick as artistic object,use brick as artistic object,3,3
CES201705,13126,842,brick,auto,auto,car,use brick as car,use brick as car,4,1
CES201705,13283,844,brick,auto,auto,car,use brick as car,use brick as car,4,1
CES201705,12903,813,brick,auto steen stoep huizen hotel ,auto steen stoep huizen hotel,car stone sidewalk houses hotel,use brick as car stone sidewalk houses hotel,use brick as car stone sidewalk houses hotel,0,0
CES201705,14344,909,brick,ayi benim,ayi benim,ayi benim,use brick as ayi benim,use brick as ayi benim,0,0
CES201705,13112,829,brick,bak 1,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13113,829,brick,bak 2,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13114,829,brick,bak 3,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13131,835,brick,bak,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13143,834,brick,bak,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13692,869,brick,bak,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,13709,874,brick,bak,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,14415,911,brick,bak,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,14437,899,brick,een bak van maken,bak,bin,use brick as bin,use brick as bin,2,4
CES201705,14358,903,brick,bakfiets,bakfiets,cargo bike,use brick as cargo bike,use brick as cargo bike,4,1
CES201705,13679,870,brick,bakken,bakken,baking,use brick as baking,use brick as baking,3,5
CES201705,15923,967,brick,Bakken met stenen,bakken stenen,baking stones,use brick as baking stones,use brick as baking stones,3,5
CES201705,15509,944,brick,bakoven,bakoven,oven,use brick as oven,use brick as oven,3,5
CES201705,13118,832,brick,baksteen,baksteen,brick,use brick as brick,use brick as brick,1,5
CES201705,13356,856,brick,baksteen,baksteen,brick,use brick as brick,use brick as brick,1,5
CES201705,16498,9999,brick,baksteen,baksteen,brick,use brick as brick,use brick as brick,1,5
CES201705,14369,903,brick,baksteen door je ruit,baksteen ruit,brick window,use brick as brick window,use brick as brick window,2,5
CES201705,13000,822,brick,baksteenkasteel,baksteenkasteel,brick castle,use brick as brick castle,use brick as brick castle,1,5
CES201705,14372,903,brick,bakstenen,bakstenen,brick,use brick as brick,use brick as brick,2,4
CES201705,14429,899,brick,2 basktenen van maken,bakstenen,brick,use brick as brick,use brick as brick,2,4
CES201705,13002,822,brick,bakstenenauto,bakstenen auto,brick car,use brick as brick car,use brick as brick car,5,1
CES201705,13007,822,brick,bakstenendienblad,bakstenen dienblad,brick tray,use brick as brick tray,use brick as brick tray,5,3
CES201705,13003,822,brick,bakstenenfiets,bakstenen fiets,brick bicycle,use brick as brick bicycle,use brick as brick bicycle,4,1
CES201705,13008,822,brick,bakstenenfietspad,bakstenen fietspad,brick cycle path,use brick as brick cycle path,use brick as brick cycle path,2,5
CES201705,16470,986,brick,bakstenen hok voor je huisdier maken,bakstenen hok huisdier,brick house pet,use brick as brick house pet,use brick as brick house pet,3,4
CES201705,13004,822,brick,bakstenenhuis,bakstenen huis,brick house,use brick as brick house,use brick as brick house,1,5
CES201705,13006,822,brick,bakstenenschool,bakstenen school,brick school,use brick as brick school,use brick as brick school,1,5
CES201705,14159,890,brick,iets met bakstenen schrijven,bakstenen schrijven,writing bricks,use brick as writing bricks,use brick as writing bricks,2,4
CES201705,13005,822,brick,bakstenentafel,bakstenen tafel,brick table,use brick as brick table,use brick as brick table,2,4
CES201705,14152,887,brick,bal,bal,ball,use brick as ball,use brick as ball,0,0
CES201705,14297,893,brick,BBQ,barbecue,barbecue,use brick as barbecue,use brick as barbecue,2,3
CES201705,16318,980,brick,bed,bed,bed,use brick as bed,use brick as bed,0,3
CES201705,14952,923,brick,Bedframe,bed frame,bed frame,use brick as bed frame,use brick as bed frame,1,3
CES201705,14961,922,brick,om een beeld uit te hakken,beeld hakken,chopping image,use brick as chopping image,use brick as chopping image,2,4
CES201705,13607,865,brick,beeld vormen uit,beeld vormen,form image,use brick as form image,use brick as form image,2,4
CES201705,14460,896,brick,beelden maken,beelden,images,use brick as images,use brick as images,2,4
CES201705,12928,816,brick,Beeidhouden,beeldhouwen,sculpt,use brick as sculpt,use brick as sculpt,2,4
CES201705,12933,814,brick,Beeldhouden,beeldhouwen,sculpt,use brick as sculpt,use brick as sculpt,2,4
CES201705,13588,862,brick,beeldhouwen,beeldhouwen,sculpt,use brick as sculpt,use brick as sculpt,2,4
CES201705,15708,952,brick,Beeldhouwen,beeldhouwen,sculpt,use brick as sculpt,use brick as sculpt,2,4
CES201705,15611,948,brick,er een beeldje van maken,beeldje,figurine,use brick as figurine,use brick as figurine,2,4
CES201705,13140,835,brick,bescherming,bescherming,protection,use brick as protection,use brick as protection,2,4
