research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201610,2829,162,brick,gebruiken,,,use brick as ,use brick as ,1,3
CES201610,3450,188,brick,om en om,,,use brick as ,use brick as ,0,0
CES201610,3775,215,brick,maken ,,,use brick as ,use brick as ,1,2
CES201610,3816,217,brick,veel,,,use brick as ,use brick as ,0,0
CES201610,6608,412,brick,maken,,,use brick as ,use brick as ,1,2
CES201610,7077,427,brick,veel,,,use brick as ,use brick as ,0,0
CES201610,9379,594,brick,maken,,,use brick as ,use brick as ,1,2
CES201610,11553,729,brick,ja,,,use brick as ,use brick as ,0,0
CES201610,12608,783,brick,iets,,,use brick as ,use brick as ,0,0
CES201610,12610,783,brick,maar ,,,use brick as ,use brick as ,0,0
CES201610,10063,648,brick,aambeeld,aambeeld,anvil,use brick as anvil,use brick as anvil,4,3
CES201610,5801,363,brick,het aanleggen van een weg,aanleggen weg,construct road,use brick as construct road,use brick as construct road,1,5
CES201610,3973,237,brick,aannemen,aannemen,contract,use brick as contract,use brick as contract,1,4
CES201610,5226,300,brick,aannemer,aannemer,contractor,use brick as contractor,use brick as contractor,0,0
CES201610,12626,783,brick,aansteker,aansteker,lighter,use brick as lighter,use brick as lighter,3,3
CES201610,8321,555,brick,aarde,aarde,soil,use brick as soil,use brick as soil,0,0
CES201610,3719,207,brick,als accesoire ,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,3884,224,brick,assecoire,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,4076,248,brick,accesoire,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,4144,249,brick,als accesoire,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,9611,612,brick,accesoire,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,11383,717,brick,ACCESOIRE,accessoire,accessory,use brick as accessory,use brick as accessory,3,4
CES201610,5487,333,brick,als accessoire in huis zetten,accessoire huis zetten,put accessory house,use brick as put accessory house,use brick as put accessory house,3,4
CES201610,8010,540,brick,Achter verstoppen,achter verstoppen,hide behind,use brick as hide behind,use brick as hide behind,2,3
CES201610,4054,242,brick,achtergrond foto,achtergrond foto,background photo,use brick as background photo,use brick as background photo,3,4
