research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201610,4305,215,fork,maken ,,,use fork as ,use fork as ,0,0
CES201610,4669,239,fork,drie,,,use fork as ,use fork as ,0,0
CES201610,5107,282,fork,zeven,,,use fork as ,use fork as ,3,3
CES201610,6960,415,fork,vier,,,use fork as ,use fork as ,0,0
CES201610,8875,552,fork,drie,,,use fork as ,use fork as ,0,0
CES201610,9573,607,fork,iets mee maken,,,use fork as ,use fork as ,2,4
CES201610,11482,727,fork,drie,,,use fork as ,use fork as ,0,0
CES201610,11483,727,fork,vier,,,use fork as ,use fork as ,0,0
CES201610,12336,775,fork,maken,,,use fork as ,use fork as ,1,4
CES201610,11564,733,fork,aaien ,aaien,pet,use fork as pet,use fork as pet,4,3
CES201610,12360,762,fork,iemand aaien,aaien,pet,use fork as pet,use fork as pet,4,3
CES201610,10636,654,fork,Gebruiken om de aandacht te krijgen door op een schoolbord mee te krassen,aandacht krijgen schoolbord krassen,get attention blackboard scratches,use fork as get attention blackboard scratches,use fork as get attention blackboard scratches,4,4
CES201610,5885,314,fork,je kan om aandacht vragen door hem tegen je glas aan te tikken,aandacht vragen tegen glas tikken,tapping glass asking for attention,use fork as tapping glass asking for attention,use fork for tapping glass asking for attention,3,5
CES201610,4721,244,fork,aandrukken,aandrukken,press,use fork as press,use fork to press,3,4
CES201610,6981,412,fork,aangeven,aangeven,indicate,use fork as indicate,use fork to indicate,1,5
CES201610,9783,628,fork,aanhangwagen,aanhangwagen,trailer,use fork as trailer,use fork as trailer,5,1
CES201610,3034,124,fork,het aanpakken van een object zonder het aan te raken met je handen,aanpakken object raken handen,tackling object touching hands,use fork as tackling object touching hands,use fork as tackling object touching hands,2,4
CES201610,6941,409,fork,aanrecht,aanrecht,counter,use fork as counter,use fork as counter,0,0
CES201610,5168,290,fork,aantikken als muziekinstrument,aantikken muziekinstrument,tapping musical instrument,use fork as tapping musical instrument,use fork as tapping musical instrument,3,4
CES201610,3140,138,fork,iemand aanvallen,aanvallen,attack,use fork as attack,use fork as attack,2,4
CES201610,6151,325,fork,gebruiken als aanwijsstok,aanwijsstok,pointing stick,use fork as pointing stick,use fork as pointing stick,3,4
CES201610,7472,487,fork,iets aanwijzen,aanwijzen,assign,use fork as assign,use fork as assign,3,4
CES201610,5942,318,fork,Als aanwijzer gebruiken,aanwijzer,pointer,use fork as pointer,use fork as pointer,3,4
CES201610,5947,317,fork,aarde mee omspitten,aarde omspitten,dig up earth,use fork as dig up earth,use fork as dig up earth,4,4
CES201610,12537,777,fork,aarde omspitter,aarde omspitten,dig up earth,use fork as dig up earth,use fork as dig up earth,4,4
CES201610,3147,139,fork,aarde wroeten,aarde wroeten,rooting earth,use fork as rooting earth,use fork as rooting earth,4,4
CES201610,8171,492,fork,assecoire,accessoire,accessory,use fork as accessory,use fork as accessory,4,3
CES201610,7085,423,fork,assecoire voor als je verkleed gaat als neptunes,accessoire verkleed gaat Neptunes,accessory goes dressed up as Neptune,use fork as accessory goes dressed up as Neptune,use fork as accessory goes dressed up as Neptune,4,4
CES201610,8329,504,fork,achterkant om iets mee uit te lepelen,achterkant lepelen,spooning at back,use fork as spooning at back,use fork as spooning at back,3,4
CES201610,4508,231,fork,De achterkant gebruiken als trommelstok,achterkant trommelstok,back of drumstick,use fork as back of drumstick,use fork as back of drumstick,3,4
CES201610,3435,172,fork,de achterkant van een vork kan gebruikt worden om oorsmeer uit je oor te halen,achterkant vork gebruikt oorsmeer oor halen,back fork used to remove earwax from ear,use fork as back fork used to remove earwax from ear,use fork as back fork used to remove earwax from ear,4,3
CES201610,7050,421,fork,achternaam van exvriend,achternaam ex vriend,ex boyfriend's last name,use fork as ex boyfriend's last name,use fork as ex boyfriend's last name,0,0
CES201610,4085,207,fork,om iets af te schieten,af schieten,shoot off,use fork as shoot off,use fork as shoot off,3,5
CES201610,6627,382,fork,afbeeldingen maken door ermee te krassen,afbeeldingen krassen,scratched images,use fork as scratched images,use fork as scratched images,3,5
CES201610,7187,433,fork,door afbreken er een poffertjes vork van maken,afbreken poffertjes vork,break off mini pancakes fork,use fork as break off mini pancakes fork,use fork as break off mini pancakes fork,2,3
CES201610,4833,255,fork,aflikken,aflikken,lick,use fork as lick,use fork as lick,1,5
CES201610,12095,769,fork,aflikken,aflikken,lick,use fork as lick,use fork as lick,1,5
CES201610,12334,775,fork,aflikken,aflikken,lick,use fork as lick,use fork as lick,1,5
CES201610,6225,338,fork,iets afpeuteren,afpeuteren,pick up,use fork as pick up,use fork as pick up,2,5
CES201610,4467,224,fork,afschieten van dingen,afschieten dingen,shooting things,use fork as shooting things,use fork as shooting things,3,5
CES201610,6375,355,fork,te gebruiken als aflsuiter van een zak chips,afsluiter zak chips,closing bag of chips,use fork as closing bag of chips,use fork as closing bag of chips,4,4
CES201610,6939,409,fork,afwas,afwas,washing up,use fork as washing up,use fork as washing up,1,5
CES201610,6349,347,fork,afwasborstel,afwasborstel,dishwashing brush,use fork as dishwashing brush,use fork as dishwashing brush,3,1
CES201610,4417,216,fork,afwasmachine,afwasmachine,dishwasher,use fork as dishwasher,use fork as dishwasher,1,1
CES201610,8880,552,fork,afwasmiddel,afwasmiddel,dishwashing liquid,use fork as dishwashing liquid,use fork as dishwashing liquid,3,1
CES201610,2680,105,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,3326,166,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6078,326,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6348,347,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6333,354,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6504,366,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6740,391,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6848,400,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6978,412,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,8879,552,fork,afwassen,afwassen,wash up,use fork as wash up,use fork as wash up,1,5
CES201610,6943,409,fork,afzuiger,afzuigen,extractor,use fork as extractor,use fork as extractor,0,0
CES201610,3498,183,fork,een akelig geluid maken,akelig geluid,nasty sound,use fork as nasty sound,use fork as nasty sound,3,4
CES201610,6369,347,fork,albert hein,Albert Hein,Albert Hein,use fork as Albert Hein,use fork as Albert Hein,0,0
CES201610,9971,619,fork,alfabet,alfabet,alphabet,use fork as alphabet,use fork as alphabet,0,0
CES201610,4328,214,fork,doen alsof het iets anders is,alsof anders,as if otherwise,use fork as as if otherwise,use fork as as if otherwise,3,2
CES201610,6376,355,fork,als alternatief voor een lepel gebruiken,alternatief lepel,alternative spoon,use fork as alternative spoon,use fork as alternative spoon,1,3
CES201610,4815,254,fork,aliminium,aluminium,aluminium,use fork as aluminium,use fork as aluminium,0,0
CES201610,7507,490,fork,aluminium,aluminium,aluminium,use fork as aluminium,use fork as aluminium,0,0
CES201610,9788,628,fork,ammunition,ammunition,ammunition,use fork as ammunition,use fork as ammunition,3,3
CES201610,5058,272,fork,er een ander voorwerp van maken,ander voorwerp,other object,use fork as other object,use fork as other object,2,2
CES201610,5150,287,fork,iets op een ander voorwerp duwen,ander voorwerp duwen,push another object,use fork as push another object,use fork as push another object,3,3
CES201610,6516,364,fork,antenne,antenne,antenna,use fork as antenna,use fork as antenna,5,3
CES201610,3386,169,fork,antiek,antiek,antique,use fork as antique,use fork as antique,2,3
CES201610,7600,499,fork,apparaat resetten door zn klein gat dingetje,apparaat resetten klein gat dingetje,device reset small hole thingy,use fork as device reset small hole thingy,use fork as device reset small hole thingy,3,3
CES201610,7583,496,fork,appetizer,appetizer,appetizer,use fork as appetizer,use fork as appetizer,1,5
CES201610,3079,131,fork,ariel,Ariël,Ari l,use fork as Ari l,use fork as Ari l,3,4
CES201610,6161,335,fork,je arm verlengen om ergens bij te kunnen,arm verlengen ergens,extend arm somewhere,use fork as extend arm somewhere,use fork as extend arm somewhere,2,4
CES201610,4654,238,fork,armband,armband,bracelet,use fork as bracelet,use fork as bracelet,4,3
CES201610,7938,532,fork,armband,armband,bracelet,use fork as bracelet,use fork as bracelet,4,3
CES201610,10117,652,fork,armbandjes mee maken,armbandjes,bracelets,use fork as bracelets,use fork as bracelets,4,3
CES201610,5113,284,fork,armspieren trainen,armspieren trainen,training arm muscles,use fork as training arm muscles,use fork as training arm muscles,5,2
CES201610,3168,136,fork,Gebruiken als attribuut voor toneel en spel,attribuut toneel spel,attribute theater play,use fork as attribute theater play,use fork as attribute theater play,3,4
CES201610,3571,189,fork,auto,auto,car,use fork as car,use fork as car,0,0
CES201610,12158,744,fork,auto,auto,car,use fork as car,use fork as car,0,0
CES201610,2975,121,fork,avond,avond,evening,use fork as evening,use fork as evening,0,0
CES201610,9019,574,fork,avond,avond,evening,use fork as evening,use fork as evening,0,0
CES201610,10685,673,fork,avond,avond,evening,use fork as evening,use fork as evening,0,0
CES201610,11473,727,fork,avond,avond,evening,use fork as evening,use fork as evening,0,0
CES201610,3411.6,174,fork, avond en middageten,avond middageten,evening lunch,use fork as evening lunch,use fork as evening lunch,1,5
CES201610,4583,232,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,6421,360,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,6491,366,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,8871,552,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,9466,594,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,10681,673,fork,avondeten,avondeten,dinner,use fork as dinner,use fork as dinner,1,5
CES201610,11480,727,fork,bakken ,bakken,baking,use fork as baking,use fork as baking,1,4
CES201610,12369,765,fork,balanceerobject,balanceerobject,balancing object,use fork as balancing object,use fork as balancing object,3,3
CES201610,3536,186,fork,balanceren,balanceren,balance,use fork as balance,use fork as balance,3,3
CES201610,5286,300,fork,balanceren,balanceren,balance,use fork as balance,use fork as balance,3,3
CES201610,6674,380,fork,balanceren,balanceren,balance,use fork as balance,use fork as balance,3,3
CES201610,10077,646,fork,balanceren,balanceren,balance,use fork as balance,use fork as balance,3,3
CES201610,5939,318,fork,Balanceren op elkaar,balanceren elkaar,balance together,use fork as balance together,use fork as balance together,3,3
CES201610,3210,150,fork,balanceren op een tafelrand,balanceren tafelrand,balancing table edge,use fork as balancing table edge,use fork as balancing table edge,3,3
CES201610,4335,214,fork,balanceren op je vinger,balanceren vinger,balancing finger,use fork as balancing finger,use fork as balancing finger,3,3
CES201610,4701,242,fork,balanceren op voorwerp,balanceren voorwerp,balancing object,use fork as balancing object,use fork as balancing object,3,3
CES201610,6089,329,fork,Balans uitdaging met meerdere vorken,balans uitdaging meerdere vorken,balance challenge multiple forks,use fork as balance challenge multiple forks,use fork as balance challenge multiple forks,3,3
CES201610,8706,540,fork,Gebruiken als balansgewicht op je surfboard,balansgewicht surfboard,balance weight surfboard,use fork as balance weight surfboard,use fork as balance weight surfboard,4,2
CES201610,8597,531,fork,balk voor een mini wip wap,balk mini wip wap,beam mini seesaw,use fork as beam mini seesaw,use fork as beam mini seesaw,3,2
CES201610,5143,286,fork,balletjes werpen,balletjes werpen,throw balls,use fork as throw balls,use fork as throw balls,3,3
