research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
CES201610,9821,607,paperclip,iets mee maken,,,use paperclip as ,use paperclip as ,1,3
CES201610,11300.2,710,paperclip, gebruiken voor ,,,use paperclip as ,use paperclip as ,0,0
CES201610,12086,767,paperclip,iets*,,,use paperclip as ,use paperclip as ,0,0
CES201610,12512,775,paperclip,gebruiken,,,use paperclip as ,use paperclip as ,0,0
CES201610,7561,494,paperclip,aambeien weghalen,aambeien weghalen,remove hemorrhoids,use paperclip as remove hemorrhoids,use paperclip as remove hemorrhoids,4,4
CES201610,8236,496,paperclip,administratie,administratie,administration,use paperclip as administration,use paperclip as administration,0,0
CES201610,12763,787,paperclip,afscheiding,afscheiding,secretion,use paperclip as secretion,use paperclip as secretion,2,2
CES201610,11763,724,paperclip,alle paperclips versmelten en tot iets anders maken,alle paperclips versmelten anders,all paperclips fuse differently,use paperclip as all paperclips fuse differently,use paperclip as all paperclips fuse differently,3,3
CES201610,8160,490,paperclip,aluminium,aluminium,aluminium,use paperclip as aluminium,use paperclip as aluminium,0,0
CES201610,8602,535,paperclip,een ander object aan een papiertje vastklemmen ,ander object papiertje vastklemmen,clamp another object onto paper,use paperclip as clamp another object onto paper,use paperclip as clamp another object onto paper,1,5
CES201610,8291,505,paperclip,iets anders dan papier bij elkaar houden bijv. kleding,anders papier elkaar houden oorbeeld kleding,other paper hold together example clothes,use paperclip as other paper hold together example clothes,use paperclip as other paper hold together example clothes,2,4
CES201610,10986,679,paperclip,animatie voor microsoft van maken,animatie Microsoft,animation Microsoft,use paperclip as animation Microsoft,use paperclip as animation Microsoft,0,0
CES201610,8940,572,paperclip,appelhouder,appelhouder,apple holder,use paperclip as apple holder,use paperclip as apple holder,4,3
CES201610,8306,554,paperclip,arbeit,arbeit,labor,use paperclip as labor,use paperclip as labor,0,0
CES201610,8058,542,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,9096,565,paperclip,Armband maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,9428,592,paperclip,armband van maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,10233,625,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,9938,638,paperclip,Armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,11491,728,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,12281,757,paperclip,armband maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,11926,761,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,12483,779,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,8485,514,paperclip,armbandje,armbandje,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,10466,643,paperclip,armbandje,armbandje,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
CES201610,12382,766,paperclip,armbandje (uitvouwbaar),armbandje,bracelet,use paperclip as bracelet,use paperclip as bracelet,4,4
CES201610,8298,554,paperclip,aufschreiben,aufschreiben,write down,use paperclip as write down,use paperclip as write down,0,0
CES201610,11842,752,paperclip,autovervorming speelgoedding,autovervorming speelgoed ding,car deformation toy thing,use paperclip as car deformation toy thing,use paperclip as car deformation toy thing,4,4
CES201610,9900,635,paperclip,baan,baan,track,use paperclip as track,use paperclip as track,0,0
CES201610,11389,716,paperclip,bakje,bakje,tub,use paperclip as tub,use paperclip as tub,0,0
CES201610,11226,701,paperclip,ballon leeg laten lopen,ballon leeg laten lopen,deflate balloon,use paperclip as deflate balloon,use paperclip as deflate balloon,2,5
CES201610,8432,511,paperclip,Ballon lekprikken,ballon lek prikken,puncture balloon,use paperclip as puncture balloon,use paperclip as puncture balloon,2,5
CES201610,11302,710,paperclip,balonnen bij elkaar,ballonnen elkaar,balloons together,use paperclip as balloons together,use paperclip as balloons together,2,5
CES201610,12604,785,paperclip,een banaan snijden van buitenaf,banaan snijden buitenaf,banana cutting outside,use paperclip as banana cutting outside,use paperclip as banana cutting outside,3,5
CES201610,12422,769,paperclip,de bandjes van je jurk aan je bh vastklemmen zodat deze niet afzakt ,bandjes jurk bh vastklemmen zodat niet afzakt,clamp straps of dress bra so that they do not fall,use paperclip as clamp straps of dress bra so that they do not fall,use paperclip as clamp straps of dress bra so that they do not fall,4,5
CES201610,11847,752,paperclip,bedel van kettinkje,bedel kettinkje,charm chain,use paperclip as charm chain,use paperclip as charm chain,3,4
CES201610,10593,652,paperclip,je behabandjes laten kruisen,behabandjes laten kruisen,cross bra straps,use paperclip as cross bra straps,use paperclip as cross bra straps,4,5
CES201610,10309,628,paperclip,iemand bekogelen,bekogelen,pelt,use paperclip as pelt,use paperclip as pelt,2,2
CES201610,9305,586,paperclip,op iets mee te bekrassen,bekrassen,scratch,use paperclip as scratch,use paperclip as scratch,2,4
CES201610,8941,572,paperclip,beloning,beloning,reward,use paperclip as reward,use paperclip as reward,2,3
CES201610,10928,673,paperclip,benodigdheden,benodigdheden,supplies,use paperclip as supplies,use paperclip as supplies,0,0
CES201610,8759,544,paperclip,beschadigen,beschadigen,damage,use paperclip as damage,use paperclip as damage,2,3
CES201610,11346,719,paperclip,bestek,bestek,cutlery,use paperclip as cutlery,use paperclip as cutlery,4,3
CES201610,11204,697,paperclip,Bewaakt de orde en rust,bewaakt orde rust,guard order and peace,use paperclip as guard order and peace,use paperclip as guard order and peace,0,0
CES201610,10888,670,paperclip,bh bandjes achter rug aan elkaar doen,bh bandjes achter rug elkaar,bra straps behind back,use paperclip as bra straps behind back,use paperclip as bra straps behind back,4,5
CES201610,8848,569,paperclip,Bh bandjes bij elkaar binden,bh bandjes elkaar binden,tie bra straps together,use paperclip as tie bra straps together,use paperclip to tie bra straps together,4,5
CES201610,7642,506,paperclip,bh bandjes bij elkaar houden,bh bandjes elkaar houden,bra straps hold together,use paperclip as bra straps hold together,use paperclip as bra straps hold together,4,5
CES201610,8764,544,paperclip,bh bandjes op je rug,bh bandjes rug,bra straps back,use paperclip as bra straps back,use paperclip as bra straps back,4,5
CES201610,7565,494,paperclip,een bierblikje open maken,bierblikje open,beer can open,use paperclip as beer can open,use paperclip as beer can open,4,3
CES201610,9626,611,paperclip,bieropener,bieropener,beer opener,use paperclip as beer opener,use paperclip as beer opener,4,3
CES201610,9485,595,paperclip,bijeenhouden,bijeenhouden,hold together,use paperclip as hold together,use paperclip as hold together,1,5
CES201610,11143,691,paperclip,binden,binden,tie,use paperclip as tie,use paperclip to tie,1,4
CES201610,9419,596,paperclip,binder,binder,binder,use paperclip as binder,use paperclip as binder,1,4
CES201610,9711,604,paperclip,binder,binder,binder,use paperclip as binder,use paperclip as binder,1,4
