response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
23579,CES201911,1964,brick,2 a 4 min lijkt me ook goed.,a min lijkt goed,a minus seems good,use brick as a minus seems good,use brick as a minus seems good,0,0
29295,CES201911,2258,brick,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,use brick as aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,use brick as aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0
24412,CES201911,2034,brick,aangeven,aangeven,indicate,use brick as indicate,use brick to indicate,2,5
24184,CES201911,2020,brick,aanraken,aanraken,touch,use brick as touch,use brick to touch,2,5
27838,CES201911,2177,brick,abortus instrument,abortus instrument,abortion instrument,use brick as abortion instrument,use brick as abortion instrument,4,2
32302,CES201911,2370,brick,actionfigure,actionfigure,action figure,use brick as action figure,use brick as action figure,5,2
27709,CES201911,2171,brick,afbakening,afbakening,demarcation,use brick as demarcation,use brick as demarcation,1,5
24191,CES201911,2020,brick,afbreken,afbreken,break down,use brick as break down,use brick as break down,2,5
31628,CES201911,2349,brick,afhakker,afhakker,hacker,use brick as hacker,use brick as hacker,2,5
31108,CES201911,2332,brick,afscherming,afscherming,shielding,use brick as shielding,use brick as shielding,2,5
30027,CES201911,2293,brick,iets afschrikken,afschrikken,scare,use brick as scare,use brick as scare,3,3
28055.4,CES201911,2191,brick, afzetblok,afzetblok,barrier block,use brick as barrier block,use brick as barrier block,2,5
31489,CES201911,2345,brick,als altaar,altaar,altar,use brick as altar,use brick as altar,3,5
28446,CES201911,2213,brick,alternatieve sleutel voor een deur,alternatieve sleutel deur,alternative key door,use brick as alternative key door,use brick as alternative key door,4,1
30522,CES201911,2313,brick,amsterdam,amsterdam,Amsterdam,use brick as Amsterdam,use brick as Amsterdam,0,0
28406,CES201911,2210,brick,iets anders bouwen,anders bouwen,build different,use brick as build different,use brick as build different,1,5
31779,CES201911,2355,brick,iets anders dan een muurtje mee bouwen,anders muurtje bouwen,other build wall,use brick as other build wall,use brick as other build wall,1,5
31625,CES201911,2349,brick,anker,anker,anchor,use brick as anchor,use brick to anchor,2,4
31079,CES201911,2329,brick,als anker gebruiken,anker,anchor,use brick as anchor,use brick to anchor,2,4
30401,CES201911,2305,brick,als anker gebruiken,anker,anchor,use brick as anchor,use brick to anchor,2,4
26626,CES201911,2132,brick,als anker voor een klein bootje,anker klein bootje,anchor small boat,use brick as anchor small boat,use brick to anchor small boat,2,4
29339,CES201911,2259,brick,archeologisch opbject,archeologisch object,archaeological object,use brick as archaeological object,use brick as archaeological object,3,3
30524,CES201911,2313,brick,architecture,architecture,architecture,use brick as architecture,use brick as architecture,0,0
26627,CES201911,2133,brick,asfsdg,asfsdg,asfsdg,use brick as asfsdg,use brick as asfsdg,0,0
27770,CES201911,2174,brick,auto ruit inslaan,auto ruit inslaan,smashing car window,use brick as smashing car window,use brick as smashing car window,2,5
28399,CES201911,2209,brick,badstop,badstop,bath plug,use brick as bath plug,use brick as bath plug,4,2
23644,CES201911,1989,brick,bak,bak,bin,use brick as bin,use brick as bin,3,3
23656,CES201911,1989,brick,bak,bak,bin,use brick as bin,use brick as bin,3,3
25652,CES201911,2093,brick,baking,baking,baking,use brick as baking,use brick as baking,0,0
27659,CES201911,2168,brick,bakje van maken om dingen in fijn te stampen,bakje dingen fijn stampen,mash things up in bowl,use brick as mash things up in bowl,use brick as mash things up in bowl,4,3
