response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
24549,CES201911,2020,paperclip,gebruiken,,,use paperclip as ,use paperclip as ,1,4
25839,CES201911,2078,paperclip,   ,,,use paperclip as ,use paperclip as ,0,0
25840,CES201911,2078,paperclip,  ,,,use paperclip as ,use paperclip as ,0,0
25841,CES201911,2078,paperclip,                ,,,use paperclip as ,use paperclip as ,0,0
27451,CES201911,2156,paperclip,kunt,,,use paperclip as ,use paperclip as ,0,0
29054,CES201911,2214,paperclip,'sleutel' (voor inbreken bij een deurslot),'sleutel','key',use paperclip as 'key',use paperclip as 'key',4,4
31891,CES201911,2345,paperclip,als 'touw','touw','rope',use paperclip as 'rope',use paperclip as 'rope',3,3
28783,CES201911,2201,paperclip,*touw,*touw,*rope,use paperclip as *rope,use paperclip as *rope,3,3
28956,CES201911,2209,paperclip,als aanwijzer gebruiken voor makeup,aanwijzer make-up,pointer makeup,use paperclip as pointer makeup,use paperclip as pointer makeup,5,4
25259,CES201911,2051,paperclip,om aas aan te hangen,aas hangen,hang bait,use paperclip as hang bait,use paperclip to hang bait,3,4
31892,CES201911,2345,paperclip,als accesoire om je schoen,accessoire schoen,accessory shoe,use paperclip as accessory shoe,use paperclip as accessory shoe,3,3
25484,CES201911,2065,paperclip,accessoires,accessoires,accessories,use paperclip as accessories,use paperclip as accessories,3,3
30389,CES201911,2278,paperclip,afleiden,afleiden,distract,use paperclip as distract,use paperclip as distract,0,0
28655,CES201911,2197,paperclip,als afval prikker gebruiken,afval prikker,waste picker,use paperclip as waste picker,use paperclip as waste picker,4,3
28858,CES201911,2204,paperclip,alluminium,alluminium,aluminum,use paperclip as aluminum,use paperclip as aluminum,0,0
30288,CES201911,2276,paperclip,alternatief voor een knoop ,alternatief knoop,alternative button,use paperclip as alternative button,use paperclip as alternative button,3,3
27993,CES201911,2177,paperclip,antenne,antenne,antenna,use paperclip as antenna,use paperclip as antenna,4,4
24094,CES201911,2001,paperclip,aparte vork,aparte vork,separate fork,use paperclip as separate fork,use paperclip as separate fork,4,3
28210,CES201911,2185,paperclip,Apparaat resetten,apparaat resetten,reset device,use paperclip as reset device,use paperclip as reset device,3,4
31795,CES201911,2331,paperclip,een apparaat mee resetten,apparaat resetten,reset device,use paperclip as reset device,use paperclip as reset device,3,4
30505,CES201911,2286,paperclip,archief,archief,archive,use paperclip as archive,use paperclip as archive,0,0
25156,CES201911,2046,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
26528,CES201911,2111,paperclip,Armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
26960,CES201911,2132,paperclip,armband van maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
27228,CES201911,2146,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
27446,CES201911,2156,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
27886,CES201911,2174,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
28162,CES201911,2182,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
28223,CES201911,2186,paperclip,armband maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
29992,CES201911,2267,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
30440,CES201911,2281,paperclip,als armband gebruiken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
31426,CES201911,2323,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
31644,CES201911,2332,paperclip,een armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
31895,CES201911,2345,paperclip,als armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
31972,CES201911,2349,paperclip,armband,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
32121,CES201911,2356,paperclip,een armband maken,armband,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
30940,CES201911,2310,paperclip,armband bij elkaar houden wanneer kapot,armband elkaar houden wanneer kapot,keep bracelet together when broken,use paperclip as keep bracelet together when broken,use paperclip as keep bracelet together when broken,4,4
27554,CES201911,2163,paperclip,of armband of slinger,armband slinger,bracelet pendulum,use paperclip as bracelet pendulum,use paperclip as bracelet pendulum,3,4
30458,CES201911,2284,paperclip,armbandje,armbandje,bracelet,use paperclip as bracelet,use paperclip as bracelet,3,4
29104,CES201911,2221,paperclip,armandjes maken ,armbandjes,bracelets,use paperclip as bracelets,use paperclip as bracelets,3,4
31352,CES201911,2321,paperclip,armen voor zelfgemaakt poppetje,armen zelfgemaakt poppetje,poor homemade doll,use paperclip as poor homemade doll,use paperclip as poor homemade doll,4,4
23589,CES201911,1964,paperclip,as,as,ash,use paperclip as ash,use paperclip as ash,4,4
31066,CES201911,2313,paperclip,as a sextoy,as a sextoy,as sex toy,use paperclip as as sex toy,use paperclip as as sex toy,4,3
23585,CES201911,1964,paperclip,asdf,asdf,asdf,use paperclip as asdf,use paperclip as asdf,0,0
23591,CES201911,1964,paperclip,asdf,asdf,asdf,use paperclip as asdf,use paperclip as asdf,0,0
23592,CES201911,1964,paperclip,asdf,asdf,asdf,use paperclip as asdf,use paperclip as asdf,0,0
23586,CES201911,1964,paperclip,asdfa,asdfa,asdfa,use paperclip as asdfa,use paperclip as asdfa,0,0
23583,CES201911,1964,paperclip,asdfasdf,asdfasdf,asdfasdf,use paperclip as asdfasdf,use paperclip as asdfasdf,0,0
23584,CES201911,1964,paperclip,asdfasdf,asdfasdf,asdfasdf,use paperclip as asdfasdf,use paperclip as asdfasdf,0,0
23588,CES201911,1964,paperclip,asf,asf,asf,use paperclip as asf,use paperclip as asf,0,0
27982,CES201911,2177,paperclip,assecoire,assecoire,accessory,use paperclip as accessory,use paperclip as accessory,3,3
31991,CES201911,2350,paperclip,babyspeeltje,babyspeeltje,baby toy,use paperclip as baby toy,use paperclip as baby toy,4,2
32409,CES201911,2370,paperclip,backscratcher,backscratcher,backscratcher,use paperclip as backscratcher,use paperclip as backscratcher,4,4
28892,CES201911,2206,paperclip,ballen doorprikken,ballen doorprikken,puncture balls,use paperclip as puncture balls,use paperclip as puncture balls,2,4
32246,CES201911,2360,paperclip,ballon op hangen,ballon hangen,hanging balloon,use paperclip as hanging balloon,use paperclip as hanging balloon,3,4
31798,CES201911,2331,paperclip,een ballon lekprikken,ballon lekprikken,balloon puncture,use paperclip as balloon puncture,use paperclip as balloon puncture,2,4
24605,CES201911,2021,paperclip,ballonnenprikker,ballonnenprikker,balloon stick,use paperclip as balloon stick,use paperclip as balloon stick,2,4
31832,CES201911,2339,paperclip,bamboo prikker voor de barbeque,bamboo prikker barbecue,bamboo skewer barbecue,use paperclip as bamboo skewer barbecue,use paperclip as bamboo skewer barbecue,4,4
29323,CES201911,2228,paperclip,band mee lek prikken\,band lek prikken,puncture tire,use paperclip as puncture tire,use paperclip as puncture tire,3,3
29220,CES201911,2222,paperclip,als barbeque stokjes,barbecue stokjes,barbecue sticks,use paperclip as barbecue sticks,use paperclip as barbecue sticks,4,4
30500,CES201911,2286,paperclip,bedrijf,bedrijf,company,use paperclip as company,use paperclip as company,0,0
28323,CES201911,2188,paperclip,een beeld ervan maken ,beeld ervan,image of it,use paperclip as image of it,use paperclip as image of it,3,3
32404,CES201911,2370,paperclip,beeldje,beeldje,figurine,use paperclip as figurine,use paperclip as figurine,3,3
29434,CES201911,2236,paperclip,als bestek gebruiken,bestek,cutlery,use paperclip as cutlery,use paperclip as cutlery,4,3
29685,CES201911,2255,paperclip,als bestek gebruiken ,bestek,cutlery,use paperclip as cutlery,use paperclip as cutlery,4,3
31546,CES201911,2325,paperclip,bestek,bestek,cutlery,use paperclip as cutlery,use paperclip as cutlery,4,3
31992,CES201911,2350,paperclip,betaalmiddel,betaalmiddel,means of payment,use paperclip as means of payment,use paperclip as means of payment,3,3
29317,CES201911,2228,paperclip,als beugel gebruike,beugel,clamp,use paperclip as clamp,use paperclip as clamp,3,3
29739,CES201911,2259,paperclip,beugel maken,beugel,clamp,use paperclip as clamp,use paperclip as clamp,3,3
31837,CES201911,2339,paperclip,beugel,beugel,clamp,use paperclip as clamp,use paperclip as clamp,3,3
31210,CES201911,2318,paperclip,bevestiging van maken,bevestiging,confirmation,use paperclip as confirmation,use paperclip as confirmation,2,4
24606,CES201911,2021,paperclip,bh-bandjes bij elkaar houden,bh-bandjes elkaar houden,keep bra straps together,use paperclip as keep bra straps together,use paperclip as keep bra straps together,4,5
24434,CES201911,2015,paperclip,bh bandjes aan elkaar haken,bh bandjes elkaar haken,bra straps hook together,use paperclip as bra straps hook together,use paperclip as bra straps hook together,4,5
26995,CES201911,2134,paperclip,bh bandjes aan elkaar vast maken,bh bandjes elkaar vast,bra straps together,use paperclip as bra straps together,use paperclip as bra straps together,4,5
31609,CES201911,2329,paperclip,om je bh aan je bandjes van je hemd te spelden als  je je bhbandje niet wil zien,bh bandjes hemd spelden bh-bandje niet zien,bra straps shirt pins bra strap not visible,use paperclip as bra straps shirt pins bra strap not visible,use paperclip as bra straps shirt pins bra strap not visible,4,5
30574,CES201911,2291,paperclip,bh bandjes weg werken,bh bandjes weg werken,getting rid of bra straps,use paperclip as getting rid of bra straps,use paperclip as getting rid of bra straps,4,5
25152,CES201911,2046,paperclip,bij je bh een bredere omvang krijgen,bh bredere omvang krijgen,bra get wider size,use paperclip as bra get wider size,use paperclip as bra get wider size,4,5
26967,CES201911,2132,paperclip,om je bh aan elkaar vast te maken zodat je de bandjes niet ziet als je en hempje aan hebt,bh elkaar vast zodat bandjes niet ziet hemdje hebt,bra together so that straps are not visible,use paperclip as bra together so that straps are not visible,use paperclip as bra together so that straps are not visible,4,5
30573,CES201911,2291,paperclip,bh sluiting,bh sluiting,bra closure,use paperclip as bra closure,use paperclip as bra closure,4,5
27992,CES201911,2177,paperclip,bieropener,bieropener,beer opener,use paperclip as beer opener,use paperclip as beer opener,4,3
24567,CES201911,2020,paperclip,bijten,bijten,bite,use paperclip as bite,use paperclip as bite,0,0
29063,CES201911,2216,paperclip,binden,binden,tie,use paperclip as tie,use paperclip to tie,3,3
29481,CES201911,2243,paperclip,binden,binden,tie,use paperclip as tie,use paperclip to tie,3,3
30509,CES201911,2286,paperclip,binden,binden,tie,use paperclip as tie,use paperclip to tie,3,3
32603,CES201911,2380,paperclip,binder,binder,binder,use paperclip as binder,use paperclip as binder,3,3
28802,CES201911,2203,paperclip,blaadje,blaadje,leaf,use paperclip as leaf,use paperclip as leaf,0,0
