response_id,research_id,respondent_id,object,translated_response,combined_response,final_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
1,CEG202201,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
2,CEG202202,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
3,CEG202203,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,prop up table or chair leg,use book as prop up table or chair leg,use book as prop up table or chair leg,2,4,3,4
4,CEG202204,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
5,CEG202205,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,make art such as by decoupaging it onto canvas or,use book as make art such as by decoupaging it onto canvas or,use book to make art such to by decoupaging it onto canvas or,NA,NA,2,5
6,CEG202206,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
7,CEG202207,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
8,CEG202208,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,prop up table or chair leg,use book as prop up table or chair leg,use book as prop up table or chair leg,2,4,3,4
9,CEG202209,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
10,CEG202210,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,make collage or sculpture,use book as make collage or sculpture,use book to make collage or sculpture,NA,NA,3,4
12,CEG202211,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
13,CEG202212,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,prop up table or chair leg,use book as prop up table or chair leg,use book as prop up table or chair leg,2,4,3,4
14,CEG202213,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
15,CEG202214,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,make collage or scrapbook,use book as make collage or scrapbook,use book to make collage or scrapbook,NA,NA,2,5
16,CEG202215,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,cut up and used as confetti or streamers,use book as cut up and used as confetti or streamers,use book as cut up and used as confetti or streamers,NA,NA,3,4
17,CEG202216,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
